,wonum,parent,priority,site,bdpocdiscipline,estdur,targstartdate,targcompdate,r_estdur
659,H13828177,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
660,H13828179,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
661,H13828181,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
662,H13828183,,1,HT,E&I,6.0,01/03/0002,30/04/0002,1
663,H13828185,H13828183,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
664,H13828187,H13828183,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
665,H13828189,H13828183,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
666,H13828191,H13828183,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
667,H13828193,H13828183,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
668,H13828195,H13828183,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
669,H13828197,,1,HT,E&I,57.0,01/03/0002,30/04/0002,6
670,H13828199,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
671,H13828201,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
672,H13828203,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
673,H13828205,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
674,H13828207,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
675,H13828209,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
676,H13828211,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
677,H13828213,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
678,H13828215,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
679,H13828217,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
680,H13828219,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
681,H13828221,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
682,H13828223,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
683,H13828225,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
